Elements: All (Neon - Fermium)
Transitions: KL2 (Kalpha2), KL3 (Kalpha1), KM2 (Kbeta3), KM3 (Kbeta1), KM4 (Kbeta5 II), KM5 (Kbeta5 I), KN2 (Kbeta2 II), KN3 (Kbeta2 I), KN4 (Kbeta4 II), KN5 (Kbeta4 I), L2M4 (Lbeta1), L3M4 (Lalpha2), L3M5 (Lalpha1), and L3N5 (Lbeta2)
Sorted by Element

Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Blend	Ref.
Rn	222	KN2	97455.1	6.1	97478	57		1d
Rn	222	KN3	97609.1	5.0	97639	57		1d
Rn	222	KN4	97840.1	4.9				
Rn	222	KN5	97868.9	4.7				
Rn	222	L2M4	14316.0	1.5	14315.8	2.2		1d
Rn	222	L3M4	11598.1	1.3	11598.08	0.80		1d
Rn	222	L3M5	11725.9	1.2	11727.09	0.82		1d
Rn	222	L3N5	14080.3	2.4				
Fr	223	KL2	83233.3	3.1	83232	25		1d
Fr	223	KL3	86107.4	3.0	86105	27		1d
Fr	223	KM2	96817.3	4.6	96808	56		1d
Fr	223	KM3	97476.7	4.7	97478	57		1d
Fr	223	KM4	98002.4	3.8				
Fr	223	KM5	98137.4	3.8				
Fr	223	KN2	100134.0	6.4	100155	60		1d
Fr	223	KN3	100298.1	5.2	100326	60		1d
Fr	223	KN4	100535.0	5.1				
Fr	223	KN5	100566.1	5.1				
Fr	223	L2M4	14769.1	1.5	14770.4	2.3		1d
Fr	223	L3M4	11895.0	1.3	11895.07	0.84		1d
Fr	223	L3M5	12029.9	1.3	12031.40	0.86		1d
Fr	223	L3N5	14458.6	2.6	14450	50		1d
Ra	226	KL2	85435.1	3.2	85436	12		10d
Ra	226	KL3	88473.4	3.0	88476	12		10d
Ra	226	KM2	99434.7	4.6	99434	12		10d
Ra	226	KM3	100133.8	4.8	100136	12		10d
Ra	226	KM4	100669.1	3.9				
Ra	226	KM5	100811.5	3.8				
Ra	226	KN2	102864.8	6.6	102861	12		10d
Ra	226	KN3	103039.3	5.1	103045	12		10d
Ra	226	KN4	103282.7	5.4				
Ra	226	KN5	103316.0	5.4				
Ra	226	L2M4	15234.0	1.5	15235.9	1.4		1d
Ra	226	L3M4	12195.7	1.3	12196.26	0.89		1d
Ra	226	L3M5	12338.1	1.3	12339.86	0.91		1d
Ra	226	L3N5	14842.6	2.8	14841.6	1.3		1d
Ac	227	KL2	87678.2	3.3	87676	18		1d
Ac	227	KL3	90888.8	3.2	90884.8	7.9		1d
Ac	227	KM2	102103.3	4.8	102102	25		1d
Ac	227	KM3	102844.2	4.9	102847	25		1d
Ac	227	KM4	103389.0	4.0				
Ac	227	KM5	103539.3	4.0				
Ac	227	KN2	105648.6	6.6	105679	27		1d
Ac	227	KN3	105835.8	5.3	105868	27		1d
Ac	227	KN4	106083.6	5.3				
Ac	227	KN5	106119.2	5.3				
Ac	227	L2M4	15710.8	1.6	15713.3	2.7		1d
Ac	227	L3M4	12500.2	1.3	12500.99	0.93		1d
Ac	227	L3M5	12650.5	1.3	12652.16	0.96		1d
Ac	227	L3N5	15230.4	2.6				
Th	232	KL2	89956.6	3.5	89957.04	0.20		5d
Th	232	KL3	93347.9	3.3	93347.38	0.25		5d
Th	232	KM2	104817.2	4.9	104816.53	0.69		5d
Th	232	KM3	105601.9	5.1	105601.51	0.53		5d
Th	232	KM4	106156.4	4.2	106270	12	KM4,5	1d
Th	232	KM5	106314.9	4.1	106270	12	KM4,5	1d
Th	232	KN2	108481.2	6.7	108509	14		1d
Th	232	KN3	108680.9	5.5	108718	13		1d
Th	232	KN4	108934.2	5.4	109082	28	KN4,5	1d
Th	232	KN5	108972.2	5.4	109082	28	KN4,5	1d
Th	232	L2M4	16199.8	1.6	16201.556	0.030		75d
Th	232	L3M4	12808.5	1.3	12809.498	0.030		75d
Th	232	L3M5	12967.0	1.3	12967.937	0.020		75d
Th	232	L3N5	15624.2	2.6	15623.960	0.030		75d
Pa	231	KL2	92283.5	3.6	92283.4	2.0		10d
Pa	231	KL3	95864.8	3.4	95866.4	2.0		10d
Pa	231	KM2	107591.2	5.1	107585.3	2.0		10d
Pa	231	KM3	108422.3	5.2	108417.3	2.0		10d
Pa	231	KM4	108986.2	4.3				
Pa	231	KM5	109153.5	4.3				
Pa	231	KN2	111387.6	6.9	111405	30		1d
Pa	231	KN3	111600.5	5.6	111625	30		1d
Pa	231	KN4	111859.4	5.5				
Pa	231	KN5	111899.8	5.6				
Pa	231	L2M4	16702.7	1.6	16702.0	1.7		1d
Pa	231	L3M4	13121.5	1.3	13122.3	1.0		1d
Pa	231	L3M5	13288.7	1.3	13290.8	1.1		1d
Pa	231	L3N5	16035.1	2.6	16024.6	3.1		1d
U	233	KL2	94655.1	3.7	94652.78	0.70		9d
U	233	KL3	98435.6	3.6	98433.75	0.60		9d
U	233	KM2	110420.2	5.2				
U	233	KM3	111300.5	5.4				
U	233	KM4	111873.8	4.5				
U	233	KM5	112050.2	4.4				
U	233	KN2	114331.0	7.1				
U	233	KN3	114557.9	5.8				
U	233	KN4	114822.4	5.7				
U	233	KN5	114865.3	5.7				
U	233	L2M4	17218.7	1.6				
U	233	L3M4	13438.2	1.4				
U	233	L3M5	13614.5	1.3				
U	233	L3N5	16429.7	2.6				
U	238	KL2	94653.1	3.7	94650.84	0.56		5d
U	238	KL3	98433.6	3.6	98431.58	0.28		5d
U	238	KM2	110418.2	5.2	110415.67	0.65		5d
U	238	KM3	111298.5	5.4	111295.08	0.65		5d
U	238	KM4	111871.8	4.5	112009	15	KM4,5	1d
U	238	KM5	112048.1	4.4	112009	15	KM4,5	1d
U	238	KN2	114329.2	7.1	114407	16		1d
U	238	KN3	114556.2	5.8	114607	16		1d
U	238	KN4	114820.7	5.7	115011	32	KN4,5	1d
U	238	KN5	114863.6	5.7	115011	32	KN4,5	1d
U	238	L2M4	17218.7	1.6	17220.15	0.28		1d
U	238	L3M4	13438.2	1.4	13438.97	0.19		1d
U	238	L3M5	13614.6	1.3	13614.87	0.20		1d
U	238	L3N5	16430.0	2.6	16428.44	0.29		1d
Np	237	KL2	97067.6	3.9	97068.4	3.0		10d
Np	237	KL3	101057.3	3.7	101056.3	3.0		10d
Np	237	KM2	113300.1	5.4	113307.3	4.0		10d
Np	237	KM3	114231.4	5.6	114243.3	3.0		10d
Np	237	KM4	114814.5	4.6				
Np	237	KM5	115000.2	4.6	114989	39		64d
Np	237	KN2	117340.3	7.3	117332	35		64d
Np	237	KN3	117581.9	5.9	117569	35		64d
Np	237	KN4	117852.1	5.8				
Np	237	KN5	117897.6	5.9				
Np	237	L2M4	17746.9	1.6	17750.36	0.34		1d
Np	237	L3M4	13757.2	1.4	13759.84	0.20		1d
Np	237	L3M5	13943.0	1.3	13944.26	0.21		1d
Np	237	L3N5	16840.3	2.6	16840.16	0.30		1d
Pu	239	KL2	99526.0	4.0	99523.2	1.2		9d
Pu	239	KL3	103735.4	3.9	103734.05	0.60		9d
Pu	239	KM2	116240.8	5.6	116251.8	8.0		63d
Pu	239	KM3	117226.2	5.8	117243.7	8.0		63d
Pu	239	KM4	117818.8	4.8				
Pu	239	KM5	118014.5	4.8				
Pu	239	KN2	120410.8	7.5				
Pu	239	KN3	120667.9	6.1				
Pu	239	KN4	120943.7	6.0				
Pu	239	KN5	120991.9	6.0				
Pu	239	L2M4	18292.8	1.6	18294.03	0.80		1d
Pu	239	L3M4	14083.4	1.4	14084.42	0.47		1d
Pu	239	L3M5	14279.1	1.3	14278.74	0.49		1d
Pu	239	L3N5	17256.6	2.5	17255.48	0.71		1d
Pu	244	KL2	99524.7	4.0	99529.4	2.0		10d
Pu	244	KL3	103734.0	3.9	103740.3	2.0		10d
Pu	244	KM2	116239.5	5.6	116241.3	2.0		10d
Pu	244	KM3	117224.8	5.8	117232.2	2.0		10d
Pu	244	KM4	117817.5	4.8				
Pu	244	KM5	118013.2	4.8				
Pu	244	KN2	120409.5	7.5	120405.2	3.0		10d
Pu	244	KN3	120666.5	6.1	120674.2	3.0		10d
Pu	244	KN4	120942.4	6.0				
Pu	244	KN5	120990.6	6.0				
Pu	244	L2M4	18292.8	1.6				
Pu	244	L3M4	14083.4	1.4				
Pu	244	L3M5	14279.1	1.3				
Pu	244	L3N5	17256.6	2.5				
Am	241	KL2	102030.7	4.2	102030.3	3.8		11d
Am	241	KL3	106470.4	4.1	106471.3	4.2		11d
Am	241	KM2	119237.9	5.8	119237.7	2.4		66d
Am	241	KM3	120279.6	5.9	120280.5	3.5		66d
Am	241	KM4	120882.3	4.9				
Am	241	KM5	121087.9	4.9				
Am	241	KN2	123542.7	7.8	123541.5	2.8		66d
Am	241	KN3	123815.9	6.3	123817.5	2.9		66d
Am	241	KN4	124097.7	6.3				
Am	241	KN5	124148.6	6.2				
Am	241	L2M4	18851.6	1.7	18852.18	0.38		1d
Am	241	L3M4	14411.9	1.4	14412.09	0.22		1d
Am	241	L3M5	14617.5	1.4	14617.33	0.23		1d
Am	241	L3N5	17678.2	2.6	17676.66	0.34		1d
Am	243	KL2	102030.1	4.2	102031.3	2.0		10d
Am	243	KL3	106469.8	4.1	106473.3	3.0		10d
Am	243	KM2	119237.3	5.8	119239.2	2.0		10d
Am	243	KM3	120279.0	5.9	120279.2	2.0		10d
Am	243	KM4	120881.7	4.9				
Am	243	KM5	121087.3	4.9				
Am	243	KN2	123542.0	7.8	123547.2	3.0		10d
Am	243	KN3	123815.2	6.3	123816.2	3.0		10d
Am	243	KN4	124097.1	6.3				
Am	243	KN5	124148.0	6.2				
Am	243	L2M4	18851.6	1.7				
Am	243	L3M4	14411.9	1.4				
Am	243	L3M5	14617.5	1.4				
Am	243	L3N5	17678.2	2.6				
Cm	245	KL2	104581.8	4.3	104589.0	5.0		11d
Cm	245	KL3	109263.1	4.2	109272.9	5.0		11d
Cm	245	KM2	122293.1	6.0	122288.9	5.0		68d
Cm	245	KM3	123394.3	6.1	123406.9	5.0		68d
Cm	245	KM4	124007.0	5.1				
Cm	245	KM5	124223.0	5.1				
Cm	245	KN2	126736.1	8.1	126982	15	KN2,3	68d
Cm	245	KN3	127026.4	6.5	126982	15	KN2,3	68d
Cm	245	KN4	127314.2	6.4				
Cm	245	KN5	127367.9	6.3				
Cm	245	L2M4	19425.2	1.7				
Cm	245	L3M4	14743.9	1.4				
Cm	245	L3M5	14959.9	1.4				
Cm	245	L3N5	18104.8	2.6				
Cm	248	KL2	104580.7	4.3	104590.3	2.0		10d
Cm	248	KL3	109262.0	4.2	109272.3	2.0		10d
Cm	248	KM2	122292.0	6.0	122302.2	2.0		10d
Cm	248	KM3	123393.2	6.1	123403.2	2.0		10d
Cm	248	KM4	124005.9	5.1	124000.2	5.0		10d
Cm	248	KM5	124221.9	5.1	124214.2	4.0		10d
Cm	248	KN2	126735.0	8.1	126727.2	3.0		10d
Cm	248	KN3	127025.3	6.5	127039.2	2.0		10d
Cm	248	KN4	127313.1	6.4				
Cm	248	KN5	127366.8	6.3				
Cm	248	L2M4	19425.2	1.7				
Cm	248	L3M4	14743.9	1.4				
Cm	248	L3M5	14959.9	1.4				
Cm	248	L3N5	18104.8	2.6				
Bk	249	KL2	107180.7	4.5	107194.3	5.0		10d
Bk	249	KL3	112115.7	4.4	112127.3	5.0		10d
Bk	249	KM2	125409.4	6.1	125414.2	7.0		10d
Bk	249	KM3	126573.1	6.3	126577.2	7.0		10d
Bk	249	KM4	127196.0	5.3				
Bk	249	KM5	127422.6	5.3				
Bk	249	KN2	130000.0	8.3				
Bk	249	KN3	130308.1	6.7				
Bk	249	KN4	130602.1	6.7				
Bk	249	KN5	130658.4	6.5				
Bk	249	L2M4	20015.2	1.7				
Bk	249	L3M4	15080.3	1.4				
Bk	249	L3M5	15306.9	1.3				
Bk	249	L3N5	18542.8	2.6				
Bk	250	KL2	107180.2	4.5	107164.4	6.0		11d
Bk	250	KL3	112115.1	4.4	112111.4	6.0		11d
Bk	250	KM2	125408.8	6.1	125478	10		69d
Bk	250	KM3	126572.6	6.3	126582	10		69d
Bk	250	KM4	127195.5	5.3				
Bk	250	KM5	127422.1	5.3				
Bk	250	KN2	129999.5	8.3				
Bk	250	KN3	130307.6	6.7				
Bk	250	KN4	130601.5	6.7				
Bk	250	KN5	130657.9	6.5				
Bk	250	L2M4	20015.2	1.7				
Bk	250	L3M4	15080.3	1.4				
Bk	250	L3M5	15306.9	1.3				
Bk	250	L3N5	18542.8	2.6				
Cf	249	KL2	109830.1	4.7				
Cf	249	KL3	115031.1	4.6				
Cf	249	KM2	128597.1	6.3				
Cf	249	KM3	129826.5	6.5				
Cf	249	KM4	130459.7	5.5				
Cf	249	KM5	130697.3	5.5				
Cf	249	KN2	133335.5	8.7				
Cf	249	KN3	133662.5	6.9				
Cf	249	KN4	133962.5	6.9				
Cf	249	KN5	134021.8	6.7				
Cf	249	L2M4	20629.7	1.7				
Cf	249	L3M4	15428.6	1.4				
Cf	249	L3M5	15666.2	1.3				
Cf	249	L3N5	18990.7	2.6				
Cf	250	KL2	109830.0	4.7	109837.3	8.0		10d
Cf	250	KL3	115031.1	4.6	115035.3	8.0		10d
Cf	250	KM2	128596.9	6.3	128626	11		71d
Cf	250	KM3	129826.3	6.5	129845	12		71d
Cf	250	KM4	130459.5	5.5				
Cf	250	KM5	130697.1	5.5				
Cf	250	KN2	133335.3	8.7	133357	12		71d
Cf	250	KN3	133662.3	6.9	133675	12		71d
Cf	250	KN4	133962.3	6.9				
Cf	250	KN5	134021.7	6.7				
Cf	250	L2M4	20629.5	1.7				
Cf	250	L3M4	15428.4	1.4				
Cf	250	L3M5	15666.0	1.3				
Cf	250	L3N5	18990.6	2.6				
Cf	251	KL2	109829.0	4.7	109860	15		11d
Cf	251	KL3	115030.0	4.6	115067	15		11d
Cf	251	KM2	128595.6	6.3				
Cf	251	KM3	129825.1	6.5				
Cf	251	KM4	130458.3	5.5				
Cf	251	KM5	130695.8	5.5				
Cf	251	KN2	133334.1	8.7				
Cf	251	KN3	133661.0	6.9				
Cf	251	KN4	133961.0	6.9				
Cf	251	KN5	134020.4	6.7				
Cf	251	L2M4	20629.3	1.7	20656	70		72d
Cf	251	L3M4	15428.3	1.4	15434	69		72d
Cf	251	L3M5	15665.8	1.3	15654	69		72d
Cf	251	L3N5	18990.4	2.6				
Es	251	KL2	112530.0	4.8	112500.9	10.00		11d
Es	251	KL3	118010.5	4.8	118018	10		11d
Es	251	KM2	131841.6	6.4	131848	20		69d
Es	251	KM3	133140.1	6.7	133188	20		69d
Es	251	KM4	133783.7	5.7				
Es	251	KM5	134032.5	5.7				
Es	251	KN2	136721.4	9.0				
Es	251	KN3	137068.3	7.1				
Es	251	KN4	137374.4	7.1				
Es	251	KN5	137436.8	6.9				
Es	251	L2M4	21253.7	1.8				
Es	251	L3M4	15773.2	1.4				
Es	251	L3M5	16022.0	1.3				
Es	251	L3N5	19426.3	2.5				
Fm	254	KL2	115280.9	5.0	115319	15		11d
Fm	254	KL3	121054.5	5.0	121095	15		11d
Fm	254	KM2	135150.4	6.6	135184	15		74d
Fm	254	KM3	136521.6	6.9	136555	15		74d
Fm	254	KM4	137175.7	5.9	137217	17		74d
Fm	254	KM5	137436.3	5.9	137479	17		74d
Fm	254	KN2	140183.3	9.3	140220	16		74d
Fm	254	KN3	140551.4	7.2	140592	16		74d
Fm	254	KN4	140863.5	7.4				
Fm	254	KN5	140929.3	7.2				
Fm	254	L2M4	21894.8	1.8	21898	13		74d
Fm	254	L3M4	16121.2	1.4	16122	13		74d
Fm	254	L3M5	16381.8	1.3	16384	13		74d
Fm	254	L3N5	19874.8	2.6	19879	13		74d
